?parent_label	?label
"oven"	"paraffin oven"
"oven"	"slide drying oven"
"oven"	"vacuum oven"
"particle delivery vessel"@en	"multi-well plate"@en
"particle size analyzer"	"laser diffraction particle size analyzer"
"photodetector"@en	"charge-coupled device detector"
"photodetector"@en	"photodiode"@en
"photometer"	"plate luminometer"
"polisher"	"grinder and polisher"
"printer"	"3D printer"
"printer"	"solid ink printer"
"protein separation apparatus"	"2D gel electrophoresis apparatus"
"robot"	"autonomous underwater vehicle"
"robot"	"coverslipping machine"
"robot"	"industrial robot"
"robot"	"rehabilitation robot"
"saw"	"precision trim saw"
"saw"	"wet saw"
"size exclusion column"@en	"gel filtration column"@en
"small-animal image acquisition device"	"PET animal imager"
"small-animal image acquisition device"	"animal MRI system"
"spectrophotometer"@en	"UV/vis spectrophotometer"
"spectrophotometer"@en	"X-ray photoelectron spectrometer"
"spectrophotometer"@en	"X-ray powder diffraction spectrometer"
"spectrophotometer"@en	"atomic spectrophotometer"
"spectrophotometer"@en	"dynamic light scattering instrument photon correlation spectrometer"
"spectrophotometer"@en	"electron paramagnetic resonance spectrometer"
"spectrophotometer"@en	"fluorescence spectrometer"
"spectrophotometer"@en	"fluorometer"@en
"spectrophotometer"@en	"infrared spectrophotometer"
"spectrophotometer"@en	"microplate spectrophotometer"
"spectrophotometer"@en	"raman spectrometer"
"spot cutter"	"2D gel spot exciser"
"sputter coater"	"automatic sputter coater"
"stereotaxic device"	"dual stereotaxic device"
"stereotaxic device"	"single stereotaxic device"
"stimulator"	"bi-phase stimulator"
"stimulator"	"finger stimulator"
"stimulator"	"transcranial magnetic stimulator"
"temperature control bath"@en	"oil bath"@en
"temperature control bath"@en	"water bath"@en
"thermal cycler"@en	"PCR instrument"
"total internal reflection fluorescence instrument"	"total internal reflection fluorescence atomic force microscope"
"trap column"@en	"anion trap column"@en
"trap column"@en	"cation trap column"@en
"vacuum dryer"@en	"vacuum coating system"
"video camera"	"high-speed motion picture camera"
"voice recording equipment"	"laryngograph"
"voltage amplifier"@en	"logarithmic voltage amplifier"@en
"voltage amplifier"@en	"patch clamp amplifier"
"voltage amplifier"@en	"preamplifier"@en
"watercraft"	"submarine"
